"table_name","column_name","data_type","character_maximum_length","is_nullable","column_default","ordinal_position"
"SequelizeMeta","name","character varying",255,"NO",NULL,1
"active_sessions","id","uuid",NULL,"NO","gen_random_uuid()",1
"active_sessions","user_id","uuid",NULL,"NO",NULL,2
"active_sessions","session_token","character varying",255,"NO",NULL,3
"active_sessions","ip_address","character varying",45,"YES",NULL,4
"active_sessions","user_agent","text",NULL,"YES",NULL,5
"active_sessions","last_activity","timestamp with time zone",NULL,"YES","CURRENT_TIMESTAMP",6
"active_sessions","expires_at","timestamp with time zone",NULL,"NO",NULL,7
"active_sessions","created_at","timestamp with time zone",NULL,"YES","CURRENT_TIMESTAMP",8
"active_sessions","updated_at","timestamp with time zone",NULL,"YES","CURRENT_TIMESTAMP",9
"active_sessions","is_active","boolean",NULL,"NO","true",10
"active_sessions","device_fingerprint","character varying",255,"YES",NULL,11
"articles","id","uuid",NULL,"NO","gen_random_uuid()",1
"articles","title","character varying",255,"NO",NULL,2
"articles","slug","character varying",300,"NO",NULL,3
"articles","content","text",NULL,"NO",NULL,4
"articles","excerpt","text",NULL,"YES",NULL,5
"articles","author_id","uuid",NULL,"NO",NULL,6
"articles","category","USER-DEFINED",NULL,"NO","'news'::enum_articles_category",7
"articles","status","USER-DEFINED",NULL,"NO","'draft'::enum_articles_status",8
"articles","featured_image","character varying",500,"YES",NULL,9
"articles","tags","json",NULL,"YES",NULL,10
"articles","view_count","integer",NULL,"NO","0",11
"articles","published_at","timestamp with time zone",NULL,"YES",NULL,12
"articles","created_at","timestamp with time zone",NULL,"NO",NULL,13
"articles","updated_at","timestamp with time zone",NULL,"NO",NULL,14
"articles","admin_rejection_message","text",NULL,"YES",NULL,15
"bets","id","uuid",NULL,"NO","gen_random_uuid()",1
"bets","user_id","uuid",NULL,"NO",NULL,2
"bets","fight_id","uuid",NULL,"NO",NULL,3
"bets","side","USER-DEFINED",NULL,"NO",NULL,4
"bets","amount","numeric",NULL,"NO",NULL,5
"bets","bet_type","USER-DEFINED",NULL,"NO","'flat'::enum_bets_bet_type",6
"bets","status","USER-DEFINED",NULL,"NO","'pending'::enum_bets_status",7
"bets","result","USER-DEFINED",NULL,"YES",NULL,8
"bets","proposal_status","USER-DEFINED",NULL,"NO","'none'::enum_bets_proposal_status",9
"bets","matched_with","uuid",NULL,"YES",NULL,10
"bets","parent_bet_id","uuid",NULL,"YES",NULL,11
"bets","created_at","timestamp with time zone",NULL,"NO",NULL,12
"bets","updated_at","timestamp with time zone",NULL,"NO",NULL,13
"bets","potential_win","numeric",NULL,"NO",NULL,14
"bets","terms","jsonb",NULL,"YES","'{""ratio"": 2, ""isOffer"": true}'::jsonb",15
"event_connections","id","integer",NULL,"NO","nextval('event_connections_id_seq'::regclass)",1
"event_connections","event_id","uuid",NULL,"YES",NULL,2
"event_connections","user_id","uuid",NULL,"YES",NULL,3
"event_connections","connected_at","timestamp without time zone",NULL,"YES","CURRENT_TIMESTAMP",4
"event_connections","disconnected_at","timestamp without time zone",NULL,"YES",NULL,5
"event_connections","duration_seconds","integer",NULL,"YES",NULL,6
"event_connections","created_at","timestamp without time zone",NULL,"YES","CURRENT_TIMESTAMP",7
"event_connections","updated_at","timestamp without time zone",NULL,"YES","CURRENT_TIMESTAMP",8
"events","id","uuid",NULL,"NO","gen_random_uuid()",1
"events","name","character varying",255,"NO",NULL,2
"events","venue_id","uuid",NULL,"NO",NULL,3
"events","operator_id","uuid",NULL,"YES",NULL,4
"events","created_by","uuid",NULL,"NO",NULL,5
"events","scheduled_date","timestamp with time zone",NULL,"NO",NULL,6
"events","status","USER-DEFINED",NULL,"NO","'scheduled'::enum_events_status",7
"events","stream_key","character varying",255,"YES",NULL,8
"events","created_at","timestamp with time zone",NULL,"NO",NULL,9
"events","updated_at","timestamp with time zone",NULL,"NO",NULL,10
"events","end_date","timestamp with time zone",NULL,"YES",NULL,11
"events","stream_url","character varying",500,"YES",NULL,12
"events","total_fights","integer",NULL,"NO","0",13
"events","completed_fights","integer",NULL,"NO","0",14
"events","total_bets","integer",NULL,"NO","0",15
